mode,map,brawler,rank,wins,total,winrate,userate
bounty,Dry Season,BERRY,16,1,1,100.0,0.1
bounty,Dry Season,BIBI,10,0,1,0.0,0.1
bounty,Dry Season,BIBI,11,1,2,50.0,0.1
bounty,Dry Season,BIBI,12,6,9,66.7,0.2
bounty,Dry Season,BIBI,13,27,57,47.4,0.2
bounty,Dry Season,BIBI,14,8,19,42.1,0.2
bounty,Dry Season,BIBI,15,1,3,33.3,0.1
bounty,Dry Season,BIBI,16,0,1,0.0,0.1
bounty,Dry Season,BO,10,6,11,54.5,1.3
bounty,Dry Season,BO,11,2,11,18.2,0.6
bounty,Dry Season,BO,12,19,33,57.6,0.8
bounty,Dry Season,BO,13,160,321,49.8,0.9
bounty,Dry Season,BO,14,30,57,52.6,0.5
bounty,Dry Season,BO,15,0,3,0.0,0.1
bounty,Dry Season,BO,16,1,1,100.0,0.1
bounty,Dry Season,BO,17,1,1,100.0,0.3
bounty,Dry Season,BONNIE,10,4,14,28.6,1.7
bounty,Dry Season,BONNIE,11,15,32,46.9,1.9
bounty,Dry Season,BONNIE,12,45,78,57.7,2.0
bounty,Dry Season,BONNIE,13,339,653,51.9,1.8
bounty,Dry Season,BONNIE,14,81,169,47.9,1.4
bounty,Dry Season,BONNIE,15,14,29,48.3,0.8
bounty,Dry Season,BONNIE,16,9,15,60.0,0.9
bounty,Dry Season,BONNIE,17,1,3,33.3,1.0
bounty,Dry Season,BROCK,10,23,56,41.1,6.6
bounty,Dry Season,BROCK,11,48,110,43.6,6.4
bounty,Dry Season,BROCK,12,106,212,50.0,5.4
bounty,Dry Season,BROCK,13,912,1831,49.8,5.0
bounty,Dry Season,BROCK,14,232,469,49.5,3.9
bounty,Dry Season,BROCK,15,47,111,42.3,3.0
bounty,Dry Season,BROCK,16,16,38,42.1,2.4
bounty,Dry Season,BROCK,17,2,10,20.0,3.2
bounty,Dry Season,BROCK,18,9,15,60.0,6.6
bounty,Dry Season,BROCK,19,3,4,75.0,2.5
bounty,Dry Season,BULL,10,2,2,100.0,0.2
